,Year,Away,Home,Champion
0,2022,celtics,warriors,Golden State Warriors
1,2021,bucks,suns,Milwaukee Bucks
2,2020,heat,lakers,Los Angeles Lakers
3,2019,warriors,raptors,Toronto Raptors
4,2018,cavaliers,warriors,Golden State Warriors
5,2017,cavaliers,warriors,Golden State Warriors
6,2016,cavaliers,warriors,Cleveland Cavaliers
7,2015,cavaliers,warriors,Golden State Warriors
8,2014,heat,spurs,San Antonio Spurs
9,2013,spurs,heat,Miami Heat
10,2012,heat,thunder,Miami Heat
11,2011,mavericks,heat,Dallas Mavericks
12,2010,celtics,lakers,Los Angeles Lakers
13,2009,magic,lakers,Los Angeles Lakers
14,2008,lakers,celtics,Boston Celtics
15,2007,cavaliers,spurs,San Antonio Spurs
16,2006,heat,mavericks,Miami Heat
17,2005,pistons,spurs,San Antonio Spurs
18,2004,pistons,lakers,Detroit Pistons
19,2003,nets,spurs,San Antonio Spurs
20,2002,nets,lakers,Los Angeles Lakers
21,2001,76ers,lakers,Los Angeles Lakers
22,2000,pacers,lakers,Los Angeles Lakers
23,1999,knicks,spurs,San Antonio Spurs
24,1998,bulls,jazz,Chicago Bulls
25,1997,jazz,bulls,Chicago Bulls
26,1996,supersonics,bulls,Chicago Bulls
27,1995,rockets,magic,Houston Rockets
28,1994,knicks,rockets,Houston Rockets
29,1993,bulls,suns,Chicago Bulls
30,1992,trailblazers,bulls,Chicago Bulls
31,1991,lakers,bulls,Chicago Bulls
32,1990,trailblazers,pistons,Detroit Pistons
33,1989,lakers,pistons,Detroit Pistons
34,1988,pistons,lakers,Los Angeles Lakers
35,1987,celtics,lakers,Los Angeles Lakers
36,1986,rockets,celtics,Boston Celtics
37,1985,lakers,celtics,Los Angeles Lakers
38,1984,lakers,celtics,Boston Celtics
39,1983,lakers,76ers,Philadelphia 76ers
40,1982,lakers,76ers,Los Angeles Lakers
41,1981,rockets,celtics,Boston Celtics
42,1980,76ers,lakers,Los Angeles Lakers
43,1979,supersonics,bullets,Seattle SuperSonics
44,1978,bullets,supersonics,Washington Bullets
45,1977,trailblazers,76ers,Portland Trail Blazers
46,1976,suns,celtics,Boston Celtics
47,1975,warriors,bullets,Golden State Warriors
48,1974,celtics,bucks,Boston Celtics
49,1973,knicks,lakers,New York Knicks
50,1972,knicks,lakers,Los Angeles Lakers
51,1971,bullets,bucks,Milwaukee Bucks
52,1970,lakers,knicks,New York Knicks
53,1969,celtics,lakers,Boston Celtics
